generation,N_shifts,eventRate
865001,0,0.822658
870001,0,0.31185
875001,0,0.0570652
880001,3,1.72209
885001,1,2.79223
890001,1,3.45618
895001,0,0.356823
900001,1,2.06181
905001,2,0.974337
910001,2,1.58217
915001,1,1.19434
920001,0,0.0578201
925001,0,0.259647
930001,2,0.991295
935001,0,0.109519
940001,0,0.0192608
945001,0,0.668902
950001,1,0.725001
955001,0,0.533668
960001,2,0.351602
965001,0,0.112091
970001,2,1.49906
975001,0,0.1676
980001,1,3.26878
985001,3,1.92622
990001,0,0.942412
995001,1,2.24067
1000001,0,1.35949
1005001,2,1.19125
1010001,0,1.26396
1015001,1,1.07886
1020001,1,0.362613
1025001,1,0.126732
1030001,1,0.522439
1035001,2,0.137616
1040001,1,3.65145
1045001,1,3.54598
1050001,0,0.914386
1055001,3,1.29337
1060001,0,0.137575
1065001,1,2.78633
1070001,2,2.66128
1075001,1,5.722
1080001,2,0.566194
1085001,2,4.37548
1090001,0,0.0630699
1095001,1,3.43956
1100001,1,0.342028
1105001,2,1.29471
1110001,0,0.090948
1115001,1,3.59989
1120001,0,0.177288
1125001,0,0.0963552
1130001,4,3.40303
1135001,0,2.91712
1140001,0,0.00561983
1145001,0,0.107327
1150001,2,1.83018
1155001,1,0.278562
1160001,0,0.937715
1165001,0,0.16104
1170001,1,0.96237
1175001,0,0.224024
1180001,1,0.31343
1185001,0,0.696599
1190001,0,0.216612
1195001,1,1.25142
1200001,2,4.05619
1205001,0,0.106197
1210001,0,0.250351
1215001,0,0.176792
1220001,1,0.178937
1225001,0,0.355011
1230001,2,2.26391
1235001,1,2.78649
1240001,0,0.139017
1245001,0,0.254207
1250001,0,0.199733
1255001,0,0.549403
1260001,0,0.304365
1265001,0,2.60017
1270001,0,0.0384958
1275001,1,0.548181
1280001,2,2.68465
1285001,0,0.0549347
1290001,0,0.155718
1295001,0,0.709657
1300001,1,0.181806
1305001,0,0.254079
1310001,1,0.736094
1315001,0,0.4335
1320001,0,0.708286
1325001,1,0.265399
1330001,0,0.0094861
1335001,0,1.44131
1340001,2,0.357367
1345001,0,1.06324
1350001,0,0.142395
1355001,0,0.503087
1360001,1,2.10157
1365001,0,0.061402
1370001,0,0.0808882
1375001,3,1.33251
1380001,1,2.20422
1385001,0,0.126637
1390001,0,0.0140238
1395001,2,0.147221
1400001,1,0.48554
1405001,2,0.665239
1410001,1,0.340907
1415001,2,3.21583
1420001,3,3.54774
1425001,1,0.68696
1430001,3,1.67074
1435001,1,0.582332
1440001,3,1.24519
1445001,2,1.64812
1450001,2,4.926
1455001,1,0.257215
1460001,3,0.292793
1465001,2,0.292267
1470001,2,1.72778
1475001,0,0.344947
1480001,0,0.812488
1485001,2,0.206332
1490001,0,0.387266
1495001,2,2.36514
1500001,0,0.976316
1505001,0,0.0911555
1510001,3,2.38924
1515001,2,1.33713
1520001,2,2.51001
1525001,1,0.322511
1530001,2,0.348987
1535001,1,0.377205
1540001,1,0.301758
1545001,0,0.89908
1550001,1,0.144494
1555001,2,3.66987
1560001,1,0.270764
1565001,0,0.573888
1570001,0,0.561919
1575001,2,1.83758
1580001,2,0.479795
1585001,2,1.7903
1590001,2,0.931423
1595001,0,0.369534
1600001,0,0.597492
1605001,0,0.358872
1610001,2,1.3373
1615001,0,0.114848
1620001,1,2.8624
1625001,1,1.03925
1630001,0,0.190345
1635001,0,0.183264
1640001,1,0.660968
1645001,0,0.221215
1650001,1,0.512029
1655001,2,1.93665
1660001,2,0.779389
1665001,2,1.3926
