generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1025001,0,-1.97051,-38918.4,1.20824,0.4084
1030001,0,-3.31753,-38918.2,2.5502,0.3718
1035001,0,-1.55316,-38918.9,0.776829,0.3748
1040001,0,-2.83568,-38918.1,2.07797,0.383
1045001,0,-2.37493,-38918.6,1.58759,0.3774
1050001,0,-0.786382,-38917.8,0.0206921,0.3766
1055001,3,6.36087,-38913.6,0.194459,0.3854
1060001,0,-1.84625,-38917.7,1.04718,0.429
1065001,0,-0.935476,-38919.2,0.160307,0.4298
1070001,2,1.37651,-38918.8,1.04149,0.3412
1075001,0,-1.03409,-38919.3,0.149213,0.3586
1080001,0,-3.8071,-38918,3.00448,0.3618
1085001,1,-0.412817,-38919.2,0.387895,0.488
1090001,0,-1.42206,-38918.1,0.546796,0.3594
1095001,1,1.35553,-38918.6,0.246942,0.4402
1100001,0,-0.958919,-38918.1,0.121624,0.3702
1105001,0,-2.02866,-38917.9,1.07665,0.3528
1110001,1,-1.09886,-38918.5,2.32542,0.3628
1115001,1,0.922259,-38917,0.496796,0.4242
1120001,1,-0.755057,-38919.4,0.903048,0.4714
1125001,1,-0.383335,-38917.9,0.552335,0.3846
1130001,1,0.613696,-38919,0.251466,0.388
1135001,0,-1.15319,-38917.7,0.209123,0.3284
1140001,2,0.321271,-38918.5,1.33089,0.3944
1145001,0,-1.93222,-38917.6,0.992595,0.4662
1150001,0,-1.23737,-38919.3,0.31791,0.361
1155001,1,1.946,-38918.7,0.264582,0.2734
1160001,0,-1.74642,-38918.2,0.818547,0.5144
1165001,1,0.964876,-38914.2,0.221277,0.48
1170001,1,-0.557742,-38919.2,2.24593,0.4572
1175001,0,-1.32903,-38918.1,0.364128,0.3914
1180001,0,-1.41046,-38917.8,0.463976,0.428
1185001,0,-2.8376,-38917.6,1.92699,0.4066
1190001,1,-0.686493,-38919.1,2.05021,0.3228
1195001,0,-2.90243,-38917.6,1.94513,0.4046
1200001,1,-2.55319,-38915,3.71442,0.3766
1205001,2,1.40121,-38912.4,0.492333,0.4966
1210001,0,-1.71349,-38917.6,0.74099,0.3916
1215001,1,1.6121,-38918.3,0.268461,0.3938
1220001,0,-1.90108,-38917.8,0.851574,0.3902
1225001,0,-1.32403,-38917.8,0.374987,0.3046
1230001,0,-1.3039,-38917.8,0.272745,0.346
1235001,1,-0.214291,-38919.8,0.111616,0.3526
1240001,0,-1.75597,-38919.7,0.685948,0.3224
1245001,0,-1.4968,-38917.8,0.496856,0.3696
1250001,1,0.746977,-38916.9,0.989317,0.3526
1255001,0,-1.56733,-38917.6,0.522201,0.331
1260001,0,-1.46196,-38917.5,0.434992,0.3696
1265001,0,-1.106,-38917.8,0.052658,0.3132
1270001,2,4.06032,-38914.9,1.37994,0.4638
1275001,1,1.78833,-38916.9,0.377919,0.5322
1280001,1,0.236289,-38916.3,0.779124,0.5278
1285001,0,-1.29601,-38918.2,0.345192,0.4032
1290001,1,-0.789723,-38920.2,0.359146,0.3936
1295001,0,-4.51225,-38918.3,3.45835,0.3944
1300001,0,-2.03536,-38919,0.981714,0.3478
1305001,2,1.1138,-38913.3,3.25248,0.419
1310001,0,-2.04072,-38917.6,1.07331,0.3754
1315001,1,0.205498,-38918.4,0.909995,0.3304
1320001,1,0.734887,-38917.4,0.946513,0.3608
1325001,0,-2.79991,-38918.1,1.75314,0.3842
1330001,0,-1.14202,-38917.5,0.195236,0.3854
1335001,1,0.750645,-38918.6,0.025636,0.314
1340001,0,-2.57411,-38917.8,1.5582,0.366
1345001,0,-1.28479,-38919.7,0.268948,0.3588
1350001,1,-3.07946,-38917.8,3.0707,0.339
1355001,0,-1.3594,-38917.5,0.360536,0.3964
1360001,0,-2.22934,-38917.6,1.19148,0.296
1365001,0,-2.54658,-38920.6,1.48427,0.3438
1370001,2,2.39916,-38918.1,0.363848,0.342
1375001,0,-1.7886,-38918.5,0.798014,0.3968
1380001,0,-2.90183,-38918.4,1.92855,0.375
1385001,0,-3.90304,-38917.6,2.88684,0.37
1390001,0,-1.20095,-38918.5,0.13603,0.3328
1395001,1,-0.593044,-38917.5,1.37276,0.386
1400001,0,-1.35843,-38917.7,0.390303,0.3744
1405001,0,-3.2854,-38919.6,2.23183,0.407
1410001,0,-2.31838,-38917.6,1.37564,0.3362
1415001,0,-1.17364,-38918,0.144929,0.3866
1420001,0,-2.32128,-38917.8,1.31607,0.3496
1425001,0,-1.17677,-38918.3,0.11769,0.3346
1430001,1,-4.541,-38917.7,0.293021,0.4142
1435001,1,2.35723,-38915.9,0.0663766,0.4116
1440001,0,-1.9796,-38917.7,0.968526,0.3398
1445001,2,5.04063,-38917.5,0.857705,0.3526
1450001,0,-4.87571,-38918.1,3.95686,0.3894
1455001,3,-0.213159,-38913.6,3.66559,0.3402
1460001,2,-0.108543,-38919.2,1.47874,0.343
1465001,1,-1.353,-38917,1.50971,0.3412
1470001,2,2.93414,-38915.5,0.227195,0.426
1475001,0,-1.79231,-38918.6,0.842798,0.399
1480001,0,-1.51235,-38918.3,0.493513,0.392
1485001,1,0.388584,-38917.5,0.81058,0.3938
1490001,2,2.17997,-38916.5,0.40937,0.3934
1495001,1,0.795331,-38918.5,1.15905,0.3724
1500001,0,-2.05635,-38919.3,1.00436,0.4064
1505001,2,3.55138,-38918.6,1.98721,0.3216
1510001,0,-1.28842,-38918,0.213766,0.2908
1515001,1,1.21617,-38916.9,0.233735,0.349
1520001,3,2.6172,-38917.9,0.228016,0.3522
1525001,0,-1.39116,-38920.5,0.366259,0.375
1530001,0,-1.11123,-38917.6,0.0487161,0.3572
1535001,1,-2.0428,-38918.8,2.05741,0.3578
1540001,0,-1.19531,-38917.8,0.171711,0.374
1545001,0,-3.84518,-38918.2,2.8821,0.3504
1550001,1,-1.16851,-38917.7,0.149337,0.3544
1555001,0,-0.981099,-38918.3,0.0222106,0.3158
1560001,1,0.264763,-38919.6,1.14185,0.353
1565001,0,-1.76231,-38918.2,0.677206,0.3166
1570001,1,-2.59517,-38917.8,0.158542,0.375
1575001,0,-1.25489,-38919.4,0.18295,0.4158
1580001,0,-1.08303,-38917.9,0.121493,0.3528
1585001,0,-1.55099,-38921.5,0.515261,0.3574
1590001,0,-4.96812,-38917.7,4.02514,0.3636
1595001,0,-2.47265,-38921.7,1.30881,0.3878
1600001,1,0.923333,-38917.8,1.37357,0.3882
1605001,0,-1.76439,-38917.7,0.819264,0.2584
1610001,0,-1.43463,-38917.7,0.472372,0.3264
1615001,2,1.31043,-38915.4,0.479713,0.3762
1620001,0,-4.75453,-38918.2,3.67276,0.3216
1625001,2,1.61178,-38916.3,2.1367,0.2698
1630001,0,-1.75801,-38918.3,0.704979,0.2802
1635001,1,-2.23088,-38918.4,1.30281,0.3354
1640001,1,-1.81481,-38916.1,2.89525,0.4072
1645001,1,-1.44812,-38917.8,3.55204,0.3872
1650001,0,-1.16314,-38917.7,0.155136,0.3414
1655001,1,-0.736402,-38915.7,1.25046,0.342
1660001,0,-1.55718,-38919.8,0.560659,0.4162
1665001,0,-1.27421,-38918.5,0.268803,0.3428
1670001,2,0.863605,-38914.3,0.701015,0.3666
1675001,0,-2.67429,-38918.5,1.64393,0.419
1680001,0,-2.21295,-38919.9,1.15228,0.4162
1685001,0,-13.1396,-38919.6,11.9961,0.3398
1690001,0,-2.00328,-38917.7,0.960723,0.3546
1695001,0,-1.1721,-38917.5,0.147357,0.3844
1700001,0,-1.13586,-38918.2,0.200402,0.323
1705001,0,-2.33989,-38917.8,1.38738,0.3612
1710001,0,-2.04567,-38918.8,1.11805,0.3558
1715001,0,-4.07215,-38917.7,3.11663,0.3344
1720001,0,-1.96438,-38918.5,0.957973,0.3416
1725001,1,0.72867,-38918.4,1.68655,0.3138
1730001,1,0.65135,-38917.8,0.672631,0.338
1735001,1,1.09063,-38918.5,0.151764,0.295
1740001,1,-2.52771,-38918.6,1.0386,0.319
1745001,1,-2.34073,-38915.9,3.68127,0.3036
1750001,0,-1.04367,-38917.9,0.143918,0.3768
1755001,1,2.22353,-38917.5,0.439129,0.3516
1760001,1,0.54184,-38917.9,1.55147,0.3312
1765001,0,-1.08088,-38918,0.0934554,0.377
1770001,1,0.53777,-38917.5,1.2244,0.3716
