generation,N_shifts,eventRate
2575001,1,0.609559
2580001,2,2.02105
2585001,0,0.5487
2590001,2,1.75942
2595001,1,0.933456
2600001,1,3.51177
2605001,1,0.85534
2610001,2,0.720223
2615001,2,0.797953
2620001,1,0.43634
2625001,0,0.28082
2630001,0,0.982577
2635001,0,0.67267
2640001,2,1.72211
2645001,0,0.431704
2650001,2,1.90075
2655001,0,0.951964
2660001,0,0.0346397
2665001,1,1.06671
2670001,1,0.910217
2675001,0,1.40822
2680001,1,2.55507
2685001,0,1.92138
2690001,3,0.105542
2695001,0,0.271654
2700001,3,1.98471
2705001,1,1.67302
2710001,0,0.212295
2715001,0,0.268148
2720001,1,0.439229
2725001,0,0.759946
2730001,2,0.774905
2735001,1,1.642
2740001,0,0.232189
2745001,0,0.147461
2750001,2,0.535585
2755001,1,2.17858
2760001,4,2.61804
2765001,0,0.19015
2770001,0,0.0596228
2775001,2,1.59201
2780001,3,0.473452
2785001,1,0.151498
2790001,2,0.0376931
2795001,2,0.558059
2800001,1,0.148355
2805001,0,0.006206
2810001,0,0.163323
2815001,0,0.109258
2820001,1,0.717785
2825001,0,0.646798
2830001,2,0.768825
2835001,1,0.638531
2840001,0,0.711838
2845001,0,0.323974
2850001,1,0.942807
2855001,0,0.224806
2860001,2,0.477602
2865001,1,0.580971
2870001,0,1.45609
2875001,1,1.60483
2880001,1,0.0576049
2885001,3,1.29792
2890001,0,1.01423
2895001,2,0.789578
2900001,4,0.813147
2905001,0,0.262343
2910001,0,0.170607
2915001,0,0.382211
2920001,2,0.171088
2925001,0,0.0621451
2930001,0,0.617628
2935001,3,0.406959
2940001,0,0.983256
2945001,0,2.84343
2950001,1,1.25829
2955001,0,0.367437
2960001,1,3.21954
2965001,0,2.52025
2970001,0,0.383309
2975001,0,0.245999
2980001,1,1.92528
2985001,0,1.25597
2990001,1,0.460313
2995001,0,0.496289
3000001,2,1.04029
3005001,0,0.264381
3010001,1,0.291477
3015001,3,0.398828
3020001,0,0.269915
3025001,0,1.29122
3030001,0,1.01834
3035001,0,0.689985
3040001,2,2.14402
3045001,1,0.230578
3050001,3,2.57098
3055001,2,0.879961
3060001,1,0.486619
3065001,1,0.618507
3070001,1,0.186658
3075001,0,0.178118
3080001,1,2.34331
3085001,4,0.927937
3090001,1,1.05092
3095001,3,1.51406
3100001,1,1.99392
3105001,2,2.01136
3110001,1,0.716284
3115001,0,0.0145018
3120001,1,2.46259
3125001,0,1.64363
3130001,3,2.45937
3135001,0,0.176337
3140001,0,0.242829
3145001,0,0.363503
3150001,1,3.14922
3155001,0,1.22882
3160001,0,2.22173
3165001,1,0.87521
3170001,2,1.17386
3175001,1,2.79514
3180001,1,0.177533
3185001,0,0.0705857
3190001,1,1.1101
3195001,1,1.93807
3200001,1,1.19765
3205001,0,0.0719263
3210001,2,2.51565
3215001,1,0.461357
3220001,0,2.19251
3225001,1,0.974475
3230001,1,0.401106
3235001,1,0.723882
3240001,0,1.72413
3245001,2,2.54339
3250001,0,0.106127
3255001,2,1.30518
3260001,0,0.2068
3265001,2,0.955632
