generation,N_shifts,eventRate
2415001,1,1.70499
2420001,2,1.49206
2425001,2,2.22575
2430001,1,0.8013
2435001,1,6.24785
2440001,0,0.307049
2445001,0,0.199982
2450001,1,1.22736
2455001,0,0.298446
2460001,2,0.937588
2465001,0,0.0938139
2470001,0,1.19647
2475001,1,0.432386
2480001,0,0.237755
2485001,0,0.138392
2490001,1,0.337738
2495001,1,1.7579
2500001,0,1.22458
2505001,1,1.87355
2510001,0,0.227362
2515001,3,1.09445
2520001,1,0.369284
2525001,2,1.81357
2530001,0,0.932741
2535001,2,4.10547
2540001,3,0.278676
2545001,3,1.44109
2550001,0,0.219381
2555001,1,0.48686
2560001,0,1.88268
2565001,0,0.913552
2570001,0,0.153535
2575001,0,0.225689
2580001,0,0.553278
2585001,1,0.801074
2590001,1,0.942152
2595001,0,0.450557
2600001,1,2.52675
2605001,2,0.631543
2610001,0,0.161022
2615001,4,2.39853
2620001,2,0.381202
2625001,0,2.5674
2630001,1,2.23563
2635001,0,0.315557
2640001,0,0.502568
2645001,0,0.7349
2650001,0,1.6985
2655001,0,1.16695
2660001,1,1.44487
2665001,1,0.186326
2670001,0,0.773982
2675001,4,2.91983
2680001,0,0.00188781
2685001,0,0.6149
2690001,1,1.94495
2695001,3,0.841689
2700001,0,0.746802
2705001,0,1.47873
2710001,1,0.851173
2715001,3,3.34621
2720001,3,1.28479
2725001,0,0.0123474
2730001,0,0.163689
2735001,1,0.750441
2740001,2,0.494865
2745001,0,0.0814626
2750001,2,2.36095
2755001,1,0.0804706
2760001,1,1.08528
2765001,2,2.48702
2770001,0,0.496888
2775001,1,0.565538
2780001,0,0.431943
2785001,0,0.48602
2790001,3,2.92033
2795001,2,0.459597
2800001,2,1.41916
2805001,2,0.12325
2810001,0,0.120956
2815001,3,1.77368
2820001,2,0.343588
2825001,0,0.0679046
2830001,1,0.610261
2835001,1,0.505113
2840001,0,0.117532
2845001,1,0.0657381
2850001,1,0.258234
2855001,1,2.26793
2860001,1,0.0173311
2865001,0,0.466818
2870001,2,0.858452
2875001,2,2.80812
2880001,4,4.35251
2885001,1,0.403479
2890001,1,0.764472
2895001,3,0.153967
2900001,1,0.763658
2905001,1,0.419362
2910001,0,0.889736
2915001,0,1.16695
2920001,1,0.209407
2925001,1,0.109894
2930001,1,1.35144
2935001,0,0.234639
2940001,1,1.1428
2945001,2,0.580712
