generation,N_shifts,eventRate
9070001,30,9.06969
9080001,40,186.849
9090001,42,149.502
9100001,17,5.50872
9110001,42,9.6321
9120001,31,31.1364
9130001,32,158.112
9140001,35,33.6617
9150001,8,10.2914
9160001,42,19.7351
9170001,35,39.9006
9180001,28,93.3645
9190001,17,3.17179
9200001,19,7.00737
9210001,32,0.985665
9220001,20,89.5618
9230001,24,9.07506
9240001,35,188.469
9250001,35,72.2849
9260001,15,134.011
9270001,44,19.4281
9280001,24,40.1023
9290001,38,76.0789
9300001,50,16.2484
9310001,23,29.4838
9320001,43,59.0401
9330001,30,115.723
9340001,48,2.21851
9350001,21,15.406
9360001,35,21.4785
9370001,20,19.6386
9380001,23,33.6452
9390001,36,2.3917
9400001,41,92.7251
9410001,29,8.99333
9420001,36,6.33006
9430001,33,26.104
9440001,30,45.5545
9450001,27,31.5575
9460001,50,74.177
9470001,27,86.5581
9480001,33,108.036
9490001,42,61.7129
9500001,29,118.423
9510001,13,31.1108
9520001,22,86.7503
9530001,20,10.4422
9540001,34,26.7269
9550001,22,13.9905
9560001,38,2.56929
9570001,17,22.7375
9580001,23,14.908
9590001,32,91.5066
9600001,30,9.72153
9610001,36,195.912
9620001,29,13.7505
9630001,24,10.3827
9640001,30,47.8831
9650001,27,40.4469
9660001,27,47.3809
9670001,28,171.938
9680001,17,90.477
9690001,38,44.8679
9700001,28,106.373
9710001,34,53.1592
9720001,39,1.75873
9730001,34,78.697
9740001,11,73.8993
9750001,43,38.0248
9760001,41,30.3981
9770001,24,0.184008
9780001,24,70.8805
9790001,19,5.65137
9800001,32,11.4904
9810001,63,81.0026
9820001,42,8.5794
9830001,25,17.8015
9840001,24,48.5872
9850001,16,7.44973
9860001,42,27.7052
9870001,35,1.56478
9880001,33,21.5381
9890001,32,58.5519
9900001,37,18.141
9910001,37,29.0955
9920001,35,43.9563
9930001,26,97.5673
9940001,26,4.84523
9950001,24,3.70245
9960001,40,71.5976
9970001,41,14.2655
9980001,34,9.61105
9990001,53,84.3919
