generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1255001,4,62.3647,-26044.4,0.201788,0.2808
1260001,4,66.8015,-26043.9,0.176776,0.2454
1265001,4,66.0136,-26045.8,1.68709,0.249
1270001,6,96.6234,-26046.6,0.695365,0.2844
1275001,4,66.927,-26044.2,0.145997,0.3016
1280001,4,65.3985,-26042.7,1.71649,0.2468
1285001,4,66.6512,-26041.4,0.500084,0.2726
1290001,4,63.7742,-26047.9,0.235203,0.2672
1295001,5,78.0481,-26044.4,1.9236,0.2452
1300001,5,82.1892,-26041.1,1.50308,0.288
1305001,6,92.9168,-26037.7,0.789634,0.2982
1310001,5,84.4078,-26044.5,0.0268184,0.2998
1315001,4,64.6812,-26043.5,1.44118,0.275
1320001,5,80.2282,-26044,2.39481,0.2776
1325001,5,84.2938,-26043.9,0.0395333,0.3048
1330001,5,81.2751,-26044.9,2.04216,0.2802
1335001,4,63.3572,-26047.8,2.52274,0.2698
1340001,4,64.7828,-26049.2,3.07094,0.2626
1345001,4,64.2248,-26046.7,1.03688,0.2554
1350001,5,80.664,-26045,2.11517,0.2718
1355001,4,61.0528,-26045.7,0.844109,0.2602
1360001,4,68.5645,-26045,0.269812,0.2792
1365001,4,64.3499,-26044.4,1.1332,0.2564
1370001,4,63.3898,-26051,0.142761,0.2426
1375001,5,81.6826,-26045.8,0.751832,0.2522
1380001,4,61.5221,-26044,1.21225,0.259
1385001,4,60.7527,-26044.6,3.10263,0.2576
1390001,5,78.6107,-26048.3,1.53674,0.2684
1395001,6,94.1772,-26044.3,0.264758,0.2842
1400001,4,61.2068,-26044,0.959429,0.2856
1405001,4,64.6774,-26048.4,0.767993,0.2916
1410001,6,99.8722,-26049.4,0.968661,0.2852
1415001,4,68.1192,-26050.7,0.0265807,0.2454
1420001,4,65.3775,-26048.4,0.270337,0.256
1425001,5,83.8625,-26048.7,0.123118,0.2594
1430001,4,66.7205,-26055.1,1.68702,0.2896
1435001,4,64.3078,-26046.7,0.00592549,0.2692
1440001,4,65.8235,-26048.6,0.00184022,0.268
1445001,4,60.7214,-26051.8,2.13482,0.2738
1450001,5,82.0001,-26047.8,0.255138,0.2782
1455001,4,65.7713,-26047.6,0.531455,0.2544
1460001,4,66.6501,-26046.4,0.946261,0.2702
1465001,4,66.0535,-26046.1,0.86185,0.2544
1470001,4,65.1911,-26046.6,0.587686,0.2378
1475001,4,65.4525,-26046.1,0.137625,0.2834
1480001,4,67.1859,-26051.8,0.32063,0.2522
1485001,4,66.814,-26046.2,0.679838,0.2678
1490001,5,80.8088,-26043.7,1.30363,0.2654
1495001,5,80.3297,-26042.5,0.866671,0.2774
1500001,4,66.3436,-26045.1,0.540373,0.2968
1505001,4,67.137,-26045.1,0.323391,0.2336
1510001,4,66.9733,-26048.3,0.000301206,0.283
1515001,4,67.3917,-26048,0.447993,0.2648
1520001,5,83.1319,-26043.3,0.303552,0.262
1525001,5,80.0919,-26043.9,0.000644079,0.2884
1530001,4,66.7496,-26048.3,0.438608,0.2722
1535001,4,66.5338,-26047.8,0.381013,0.2824
1540001,5,82.4759,-26041.8,0.163211,0.3266
1545001,5,83.3735,-26042,0.226761,0.284
1550001,5,76.5151,-26042.1,2.53625,0.308
1555001,4,65.8193,-26046.2,0.0457189,0.3048
1560001,4,66.1279,-26043.7,0.190387,0.2638
1565001,4,65.8946,-26048.2,0.877299,0.2658
1570001,4,66.9268,-26045.3,0.588819,0.25
1575001,6,98.4372,-26041.5,0.832139,0.265
1580001,5,81.7192,-26044.4,0.0113557,0.2826
1585001,4,64.8918,-26046.3,2.73742,0.3058
1590001,4,66.4205,-26046.9,0.279143,0.2662
1595001,4,63.1216,-26048.1,2.39545,0.2758
1600001,5,74.249,-26046.6,0.923961,0.299
1605001,4,65.0362,-26048.2,1.08622,0.2464
1610001,4,65.1241,-26045.7,0.294987,0.2596
1615001,4,65.6604,-26048.5,0.850499,0.2526
1620001,4,63.4509,-26046,0.683887,0.2692
