"spp.name","region","extant","env.opt","time.of.origin","time.of.extinction","time.of.sp.origin","reg.env","carry.cap","reg.alpha","time.of.sp.extinction"
12191,3,0,7.95061741774616,32526,32633,12756,10.9090909090909,22000,2.8e-06,36948
12398,1,1,3.36805442681294,12903,35804,12903,3.63636363636364,22000,1e-06,35804
12403,2,0,3.69693746854197,15535,15583,12906,7.27272727272727,22000,1.9e-06,30725
12403,2,0,3.69693746854197,15136,15139,12906,7.27272727272727,22000,1.9e-06,30725
12403,1,1,3.69693746854197,12906,30725,12906,3.63636363636364,22000,1e-06,30725
12407,1,1,4.36554592532577,12908,35251,12908,3.63636363636364,22000,1e-06,35251
12407,2,0,4.36554592532577,13950,14912,12908,7.27272727272727,22000,1.9e-06,35251
12422,1,1,2.25180668368258,12920,31685,12920,3.63636363636364,22000,1e-06,31685
12432,2,1,6.98091477702019,12925,31841,12925,7.27272727272727,22000,1.9e-06,31841
12452,6,1,21.9858523821581,12938,30771,12938,21.8181818181818,22000,5.5e-06,30771
12454,2,1,7.25398528794235,12939,36465,12939,7.27272727272727,22000,1.9e-06,36465
12478,3,1,10.7471878539102,12961,33805,12961,10.9090909090909,22000,2.8e-06,33805
12592,6,1,21.4237236439752,13060,30021,13060,21.8181818181818,22000,5.5e-06,30021
12752,4,1,14.7350078227385,13179,41576,13179,14.5454545454545,22000,3.7e-06,41576
12856,2,1,6.1720828730083,13266,32977,13266,7.27272727272727,22000,1.9e-06,32977
12878,3,1,11.4737581199408,13280,36931,13280,10.9090909090909,22000,2.8e-06,36931
12934,1,1,3.69337394075323,13316,37104,13316,3.63636363636364,22000,1e-06,37104
13025,2,1,6.75199127172046,13385,31306,13385,7.27272727272727,22000,1.9e-06,31306
13116,4,1,14.791049112108,13453,39884,13453,14.5454545454545,22000,3.7e-06,39884
13150,3,1,10.504192908821,13481,55937,13481,10.9090909090909,22000,2.8e-06,55937
13180,1,1,4.11391465349783,13508,34680,13508,3.63636363636364,22000,1e-06,34680
13334,2,1,7.23660750951184,13628,36137,13628,7.27272727272727,22000,1.9e-06,36137
13379,2,0,3.3340405992618,43985,43995,13672,7.27272727272727,22000,1.9e-06,45957
